z_model_m,depth_m,CT_data,SA_data,T_fit,S_fit
149.875,0.125,4.7691,24.8104,4.7386,24.7876
149.625,0.375,4.7859,24.8348,4.7604,24.8138
149.375,0.625,4.8024,24.8595,4.7827,24.8402
149.125,0.875,4.8205,24.8849,4.8053,24.8668
148.875,1.125,4.8397,24.9100,4.8282,24.8936
148.625,1.375,4.8590,24.9346,4.8514,24.9204
148.375,1.625,4.8786,24.9598,4.8749,24.9474
148.125,1.875,4.8994,24.9861,4.8986,24.9744
147.875,2.125,4.9225,25.0113,4.9224,25.0015
147.625,2.375,4.9450,25.0351,4.9465,25.0285
147.375,2.625,4.9667,25.0575,4.9706,25.0556
147.125,2.875,4.9878,25.0808,4.9949,25.0826
146.875,3.125,5.0105,25.1055,5.0193,25.1095
146.625,3.375,5.0340,25.1298,5.0437,25.1363
146.375,3.625,5.0576,25.1538,5.0682,25.1631
146.125,3.875,5.0810,25.1775,5.0927,25.1897
145.875,4.125,5.1039,25.2005,5.1172,25.2161
145.625,4.375,5.1262,25.2225,5.1417,25.2424
145.375,4.625,5.1475,25.2436,5.1661,25.2685
145.125,4.875,5.1681,25.2640,5.1904,25.2944
144.875,5.125,5.1880,25.2837,5.2147,25.3200
144.625,5.375,5.2072,25.3026,5.2388,25.3455
144.375,5.625,5.2257,25.3209,5.2629,25.3706
144.125,5.875,5.2436,25.3386,5.2868,25.3956
143.875,6.125,5.2608,25.3556,5.3105,25.4202
143.625,6.375,5.3041,25.4060,5.3341,25.4446
143.375,6.625,5.3441,25.4480,5.3576,25.4687
143.125,6.875,5.3793,25.4859,5.3808,25.4925
142.875,7.125,5.4129,25.5220,5.4038,25.5159
142.625,7.375,5.4449,25.5563,5.4266,25.5391
142.375,7.625,5.4761,25.5896,5.4492,25.5619
142.125,7.875,5.5062,25.6222,5.4715,25.5844
141.875,8.125,5.5353,25.6532,5.4937,25.6066
141.625,8.375,5.5634,25.6835,5.5155,25.6284
141.375,8.625,5.5909,25.7133,5.5371,25.6499
141.125,8.875,5.6185,25.7420,5.5584,25.6710
140.875,9.125,5.6459,25.7696,5.5794,25.6917
140.625,9.375,5.6730,25.7964,5.6002,25.7121
140.375,9.625,5.6994,25.8222,5.6206,25.7322
140.125,9.875,5.7254,25.8475,5.6408,25.7519
139.875,10.125,5.7511,25.8719,5.6606,25.7712
139.625,10.375,5.7762,25.8955,5.6802,25.7901
139.375,10.625,5.8008,25.9178,5.6994,25.8087
139.125,10.875,5.8239,25.9387,5.7183,25.8269
138.875,11.125,5.8457,25.9586,5.7369,25.8448
138.625,11.375,5.8667,25.9776,5.7551,25.8622
138.375,11.625,5.8865,25.9951,5.7731,25.8794
138.125,11.875,5.9050,26.0110,5.7907,25.8961
137.875,12.125,5.9213,26.0265,5.8079,25.9125
137.625,12.375,5.9371,26.0417,5.8249,25.9286
137.375,12.625,5.9524,26.0568,5.8415,25.9442
137.125,12.875,5.9671,26.0703,5.8577,25.9596
136.875,13.125,5.9798,26.0816,5.8736,25.9746
136.625,13.375,5.9908,26.0921,5.8892,25.9892
136.375,13.625,6.0007,26.1017,5.9045,26.0035
136.125,13.875,6.0096,26.1105,5.9194,26.0174
135.875,14.125,6.0177,26.1187,5.9339,26.0311
135.625,14.375,6.0254,26.1266,5.9482,26.0444
135.375,14.625,6.0329,26.1346,5.9621,26.0573
135.125,14.875,6.0402,26.1423,5.9756,26.0700
134.875,15.125,6.0474,26.1500,5.9888,26.0823
134.625,15.375,6.0543,26.1575,6.0017,26.0944
134.375,15.625,6.0611,26.1647,6.0143,26.1061
134.125,15.875,6.0677,26.1718,6.0266,26.1176
133.875,16.125,6.0742,26.1788,6.0385,26.1287
133.625,16.375,6.0807,26.1857,6.0501,26.1396
133.375,16.625,6.0869,26.1923,6.0614,26.1501
133.125,16.875,6.0930,26.1989,6.0723,26.1605
132.875,17.125,6.0990,26.2052,6.0830,26.1705
132.625,17.375,6.1049,26.2114,6.0933,26.1803
132.375,17.625,6.1106,26.2173,6.1034,26.1898
132.125,17.875,6.1163,26.2229,6.1131,26.1991
131.875,18.125,6.1219,26.2282,6.1226,26.2082
131.625,18.375,6.1271,26.2334,6.1317,26.2170
131.375,18.625,6.1322,26.2385,6.1406,26.2256
131.125,18.875,6.1372,26.2435,6.1492,26.2340
130.875,19.125,6.1421,26.2485,6.1575,26.2421
130.625,19.375,6.1470,26.2535,6.1655,26.2501
130.375,19.625,6.1519,26.2585,6.1733,26.2579
130.125,19.875,6.1566,26.2632,6.1808,26.2655
129.875,20.125,6.1611,26.2679,6.1880,26.2729
129.625,20.375,6.1655,26.2726,6.1950,26.2801
129.375,20.625,6.1699,26.2772,6.2018,26.2872
129.125,20.875,6.1743,26.2818,6.2083,26.2941
128.875,21.125,6.1786,26.2865,6.2145,26.3008
128.625,21.375,6.1829,26.2913,6.2205,26.3074
128.375,21.625,6.1871,26.2961,6.2263,26.3139
128.125,21.875,6.1912,26.3008,6.2319,26.3202
127.875,22.125,6.1952,26.3055,6.2372,26.3264
127.625,22.375,6.1991,26.3103,6.2424,26.3325
127.375,22.625,6.2029,26.3150,6.2473,26.3385
127.125,22.875,6.2066,26.3196,6.2521,26.3444
126.875,23.125,6.2103,26.3244,6.2566,26.3501
126.625,23.375,6.2141,26.3292,6.2610,26.3558
126.375,23.625,6.2181,26.3341,6.2651,26.3614
126.125,23.875,6.2220,26.3389,6.2691,26.3670
125.875,24.125,6.2260,26.3436,6.2729,26.3724
125.625,24.375,6.2300,26.3482,6.2766,26.3778
125.375,24.625,6.2338,26.3526,6.2801,26.3832
125.125,24.875,6.2375,26.3569,6.2834,26.3885
124.875,25.125,6.2412,26.3610,6.2866,26.3937
124.625,25.375,6.2447,26.3651,6.2896,26.3989
124.375,25.625,6.2482,26.3691,6.2925,26.4041
124.125,25.875,6.2516,26.3730,6.2953,26.4093
123.875,26.125,6.2549,26.3768,6.2980,26.4144
123.625,26.375,6.2582,26.3807,6.3005,26.4196
123.375,26.625,6.2616,26.3846,6.3029,26.4247
123.125,26.875,6.2650,26.3887,6.3052,26.4298
122.875,27.125,6.2684,26.3932,6.3074,26.4349
122.625,27.375,6.2719,26.3979,6.3095,26.4400
122.375,27.625,6.2752,26.4028,6.3115,26.4452
122.125,27.875,6.2786,26.4077,6.3134,26.4503
121.875,28.125,6.2821,26.4127,6.3152,26.4555
121.625,28.375,6.2856,26.4177,6.3170,26.4607
121.375,28.625,6.2892,26.4227,6.3187,26.4660
121.125,28.875,6.2927,26.4278,6.3203,26.4713
120.875,29.125,6.2961,26.4333,6.3218,26.4766
120.625,29.375,6.2996,26.4390,6.3233,26.4820
120.375,29.625,6.3028,26.4448,6.3247,26.4874
120.125,29.875,6.3059,26.4509,6.3261,26.4929
119.875,30.125,6.3089,26.4572,6.3275,26.4985
119.625,30.375,6.3118,26.4636,6.3288,26.5041
119.375,30.625,6.3146,26.4701,6.3301,26.5097
119.125,30.875,6.3174,26.4766,6.3313,26.5155
118.875,31.125,6.3201,26.4832,6.3325,26.5213
118.625,31.375,6.3228,26.4897,6.3337,26.5272
118.375,31.625,6.3256,26.4963,6.3349,26.5332
118.125,31.875,6.3282,26.5031,6.3361,26.5393
117.875,32.125,6.3306,26.5098,6.3373,26.5454
117.625,32.375,6.3328,26.5163,6.3384,26.5517
117.375,32.625,6.3351,26.5231,6.3396,26.5580
117.125,32.875,6.3376,26.5301,6.3408,26.5645
116.875,33.125,6.3401,26.5374,6.3420,26.5710
116.625,33.375,6.3427,26.5449,6.3432,26.5776
116.375,33.625,6.3450,26.5526,6.3444,26.5844
116.125,33.875,6.3470,26.5605,6.3456,26.5912
115.875,34.125,6.3488,26.5687,6.3469,26.5982
115.625,34.375,6.3504,26.5771,6.3482,26.6052
115.375,34.625,6.3521,26.5857,6.3495,26.6124
115.125,34.875,6.3538,26.5944,6.3509,26.6197
114.875,35.125,6.3554,26.6038,6.3523,26.6271
114.625,35.375,6.3573,26.6136,6.3537,26.6346
114.375,35.625,6.3592,26.6237,6.3552,26.6422
114.125,35.875,6.3612,26.6340,6.3567,26.6500
113.875,36.125,6.3635,26.6443,6.3583,26.6578
113.625,36.375,6.3660,26.6549,6.3599,26.6658
113.375,36.625,6.3684,26.6655,6.3616,26.6739
113.125,36.875,6.3707,26.6761,6.3634,26.6821
112.875,37.125,6.3731,26.6861,6.3652,26.6905
112.625,37.375,6.3754,26.6961,6.3671,26.6989
112.375,37.625,6.3775,26.7060,6.3690,26.7075
112.125,37.875,6.3796,26.7158,6.3710,26.7162
111.875,38.125,6.3815,26.7257,6.3731,26.7251
111.625,38.375,6.3837,26.7359,6.3752,26.7340
111.375,38.625,6.3860,26.7461,6.3775,26.7431
111.125,38.875,6.3884,26.7564,6.3798,26.7523
110.875,39.125,6.3909,26.7664,6.3821,26.7616
110.625,39.375,6.3936,26.7763,6.3846,26.7710
110.375,39.625,6.3966,26.7863,6.3872,26.7805
110.125,39.875,6.4001,26.7959,6.3898,26.7902
109.875,40.125,6.4036,26.8055,6.3925,26.8000
109.625,40.375,6.4071,26.8153,6.3953,26.8099
109.375,40.625,6.4104,26.8255,6.3982,26.8199
109.125,40.875,6.4139,26.8361,6.4011,26.8300
108.875,41.125,6.4175,26.8468,6.4042,26.8403
108.625,41.375,6.4208,26.8576,6.4074,26.8506
108.375,41.625,6.4237,26.8687,6.4106,26.8611
108.125,41.875,6.4268,26.8799,6.4140,26.8717
107.875,42.125,6.4302,26.8909,6.4174,26.8824
107.625,42.375,6.4336,26.9019,6.4209,26.8932
107.375,42.625,6.4367,26.9127,6.4245,26.9041
107.125,42.875,6.4396,26.9235,6.4283,26.9151
106.875,43.125,6.4422,26.9341,6.4321,26.9262
106.625,43.375,6.4446,26.9446,6.4360,26.9374
106.375,43.625,6.4472,26.9550,6.4400,26.9487
106.125,43.875,6.4496,26.9654,6.4441,26.9600
105.875,44.125,6.4517,26.9763,6.4483,26.9715
105.625,44.375,6.4539,26.9872,6.4526,26.9831
105.375,44.625,6.4566,26.9984,6.4570,26.9948
105.125,44.875,6.4600,27.0095,6.4615,27.0065
104.875,45.125,6.4631,27.0200,6.4661,27.0184
